Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,00:05:00,1.01285,1.01285,1.01216,1.01227,0,0
2016-02-16,00:10:00,1.01227,1.01266,1.01194,1.0126,0,0
2016-02-16,00:15:00,1.0126,1.013,1.01214,1.01272,0,0
2016-02-16,00:20:00,1.01272,1.01293,1.01222,1.01238,0,0
2016-02-16,00:25:00,1.01238,1.01258,1.01206,1.01221,0,0
2016-02-16,00:30:00,1.01221,1.01245,1.01208,1.01216,0,0
2016-02-16,00:35:00,1.01217,1.01239,1.01193,1.01238,0,0
2016-02-16,00:40:00,1.01237,1.01258,1.01213,1.01216,0,0
2016-02-16,00:45:00,1.01213,1.01235,1.01189,1.01214,0,0
2016-02-16,00:50:00,1.01214,1.01246,1.01208,1.01243,0,0
2016-02-16,00:55:00,1.01243,1.0127,1.01235,1.01237,0,0
2016-02-16,01:00:00,1.01243,1.01257,1.01229,1.01234,0,0
2016-02-16,01:05:00,1.01234,1.01242,1.01195,1.01199,0,0
2016-02-16,01:10:00,1.01199,1.0124,1.01198,1.0123,0,0
2016-02-16,01:15:00,1.0123,1.01289,1.0123,1.01273,0,0
2016-02-16,01:20:00,1.01273,1.01354,1.01268,1.01341,0,0
2016-02-16,01:25:00,1.01342,1.01395,1.01289,1.01395,0,0
2016-02-16,01:30:00,1.01391,1.01391,1.01316,1.01347,0,0
2016-02-16,01:35:00,1.01364,1.01397,1.01221,1.0133,0,0
2016-02-16,01:40:00,1.0133,1.01345,1.01244,1.01271,0,0
2016-02-16,01:45:00,1.01271,1.0128,1.01204,1.01212,0,0
2016-02-16,01:50:00,1.01213,1.0125,1.01199,1.01219,0,0
2016-02-16,01:55:00,1.0122,1.01222,1.01133,1.01133,0,0
2016-02-16,02:00:00,1.01131,1.01133,1.01079,1.01124,0,0
2016-02-16,02:05:00,1.01124,1.01187,1.0111,1.01154,0,0
2016-02-16,02:10:00,1.01158,1.01194,1.01151,1.01162,0,0
2016-02-16,02:15:00,1.01162,1.01194,1.0112,1.01194,0,0
2016-02-16,02:20:00,1.0119,1.01268,1.01175,1.01241,0,0
2016-02-16,02:25:00,1.01239,1.01291,1.01239,1.01267,0,0
2016-02-16,02:30:00,1.01267,1.01283,1.01186,1.01203,0,0
2016-02-16,02:35:00,1.01209,1.01212,1.01169,1.01169,0,0
2016-02-16,02:40:00,1.0118,1.01182,1.01105,1.01166,0,0
