0.6257,0.3866,1.4519
0.6257,0.3866,1.4519
0.6269,0.3884,1.4499
0.6311,0.3903,1.463
0.6311,0.3903,1.463
0.6306,0.3902,1.4671
0.6304,0.3902,1.4669
0.6316,0.3906,1.469
0.6304,0.3915,1.4746
0.63,0.3913,1.4763
0.631,0.3924,1.4792
0.6298,0.3927,1.4791
0.629,0.3926,1.477
0.6289,0.3926,1.4746
0.6367,0.3944,1.4768
0.6335,0.3923,1.4773
0.6272,0.3896,1.4832
0.6282,0.3891,1.4802
0.6321,0.3894,1.4783
0.6334,0.3904,1.4769
0.6325,0.3904,1.4765
0.635,0.3913,1.477
0.6391,0.3939,1.4746
0.6401,0.3938,1.4778
0.6391,0.3939,1.474
0.6354,0.3923,1.479
0.6285,0.3922,1.479
0.6287,0.3922,1.481
0.627,0.3919,1.4792
0.6284,0.3928,1.479
0.6304,0.3934,1.4736
0.6292,0.3928,1.4734
0.6308,0.3925,1.4715
0.6335,0.3946,1.4677
0.6337,0.3946,1.4673
0.633,0.3944,1.4662
0.6369,0.3946,1.4669
0.6399,0.3954,1.4668
0.6437,0.3969,1.4648
0.6434,0.397,1.4614
0.6427,0.3967,1.4615
0.6425,0.3968,1.4632
0.6427,0.3972,1.463
0.6484,0.3993,1.4662
0.6494,0.3994,1.4662
0.644,0.397,1.4651
0.6421,0.3976,1.4632
0.6427,0.3978,1.4629
0.6425,0.3975,1.462
0.6442,0.398,1.4625
0.6475,0.3986,1.4664
0.6472,0.3987,1.471
0.6462,0.3983,1.4719
0.646,0.3982,1.4686
0.6476,0.3975,1.467
0.6457,0.3974,1.4594
0.6439,0.3959,1.4594
0.6516,0.3962,1.4646
0.6524,0.3963,1.4683
0.6551,0.3978,1.4675
0.6577,0.3994,1.468
0.6656,0.3998,1.4703
0.6678,0.4002,1.4714
0.6557,0.3992,1.4718
0.6559,0.3987,1.4716
0.6612,0.3996,1.4718
0.6651,0.4007,1.4712
0.6676,0.4016,1.4767
0.6693,0.4045,1.4768
0.6693,0.4056,1.4763
0.6731,0.4034,1.4784
0.6768,0.4053,1.4856
0.6771,0.4059,1.4876
0.6806,0.4071,1.4915
0.6837,0.4096,1.4929
0.6864,0.4112,1.4875
0.6866,0.4117,1.4884
0.6839,0.4101,1.485
0.6778,0.4095,1.4811
0.6768,0.4086,1.4769
0.6685,0.404,1.4744
0.6662,0.4031,1.4722
0.6656,0.4049,1.4713
0.6658,0.4047,1.4705
0.6689,0.4068,1.471
0.6724,0.4065,1.4686
0.6742,0.4073,1.4685
0.6714,0.4067,1.4664
0.6732,0.4065,1.4733
0.6732,0.4062,1.4743
0.6712,0.4063,1.4664
0.6712,0.4063,1.4664
0.666,0.4045,1.4672
0.6592,0.3992,1.4627
0.6538,0.3967,1.4632
0.6518,0.3957,1.4695
0.6518,0.3975,1.4719
0.6518,0.3975,1.4742
0.6543,0.3977,1.4736
0.6511,0.3987,1.4714
0.6553,0.4006,1.4697
0.6487,0.399,1.4731
0.6487,0.4,1.4746
0.6487,0.3989,1.4711
0.6487,0.3989,1.4707
0.6479,0.3993,1.4722
0.6487,0.4018,1.4772
0.6455,0.4013,1.4742
0.6463,0.402,1.4714
0.6453,0.3982,1.471
0.6444,0.4027,1.475
0.6444,0.4027,1.4741
0.6566,0.4033,1.4761
0.6617,0.4119,1.4818
0.6628,0.4127,1.4882
