1.0062,15.77,122.31
1.0199,15.72,121.95
1.0096,15.82,122.7
1.003,15.96,123.8
1.0011,16,124.11
0.9988,15.99,124
0.9966,15.98,123.88
1.0037,16.02,124.25
1.002,16.02,124.19
0.9917,15.86,122.97
1.0013,15.88,123.15
1.0032,15.86,122.93
1.0017,15.83,122.7
0.9973,15.75,122.13
0.9944,15.68,121.55
0.993,15.59,120.85
0.9972,15.6,120.9
0.9976,15.58,120.78
0.9946,15.6,120.9
0.9943,15.58,120.73
1.0032,15.56,120.6
1.0014,15.56,120.62
1.007,15.59,120.84
0.993,15.59,120.88
0.9906,15.45,119.73
0.9927,15.41,119.43
0.9941,15.41,119.45
0.9959,15.42,119.55
1.0025,15.36,119.02
1.0144,15.36,119.08
1.0227,15.44,119.66
1.0167,15.34,118.92
1.0146,15.38,119.18
1.0151,15.38,119.18
1.0165,15.41,119.45
1.0217,15.47,119.91
1.0226,15.37,119.12
1.023,15.23,117.99
1.0194,15.23,118
1.0329,15.21,117.83
1.0326,15.21,117.84
1.0313,15.25,118.17
1.0575,15.34,118.88
1.0535,15.37,119.09
1.0559,15.53,120.38
1.0644,15.49,120.02
1.0674,15.58,120.7
1.0668,15.6,120.89
1.0733,15.63,121.09
1.0836,15.58,120.73
1.0763,15.62,121.04
1.0685,15.63,121.11
1.065,15.67,121.44
1.0637,15.56,120.57
1.0633,15.55,120.5
1.0633,15.55,120.54
1.0615,15.4,119.33
1.0657,15.37,119.11
1.0687,15.51,120.16
1.063,15.49,120.05
1.0633,15.53,120.35
1.0637,15.52,120.29
1.0646,15.38,119.2
1.0725,15.23,118.05
1.0736,15.17,117.55
1.0676,15.27,118.34
1.0759,15.19,117.71
1.081,15.13,117.23
1.0814,15.17,117.54
1.0874,15.12,117.21
1.0933,15.24,118.14
1.0955,15.3,118.56
1.0844,15.2,117.83
1.0803,15.23,118.05
1.0728,15.37,119.08
1.0744,15.33,118.81
1.0757,15.43,119.61
1.0726,15.5,120.11
1.0753,15.52,120.29
