1975-08-05,118.2174,6.15,11
1975-08-06,118.4042,5.30,11
1975-08-07,118.7038,6.14,11
1975-08-08,118.626,6.04,11
1975-08-11,118.7143,6.13,11
1975-08-12,118.7409,6.11,11
1975-08-13,118.6645,6.09,11
1975-08-14,118.5591,6.06,11
1975-08-15,118.4962,6.05,11
1975-08-18,118.4328,6.15,11
1975-08-19,118.2734,6.24,11
1975-08-20,118.3595,6.42,11
1975-08-21,118.4018,6.34,11
1975-08-22,118.5132,6.32,11
1975-08-26,118.6698,6.18,11
1975-08-27,118.691,5.81,11
1975-08-28,118.7558,6.17,11
1975-08-29,118.8445,6.13,11
1975-09-01,118.9409,ND,11
1975-09-02,118.8977,6.29,11
1975-09-03,118.7871,5.47,11
1975-09-04,118.9127,6.19,11
1975-09-05,118.9842,6.20,11
1975-09-08,119.022,6.19,11
1975-09-09,119.0114,6.09,11
1975-09-10,119.0949,5.98,11
1975-09-11,119.0955,6.22,11
1975-09-12,119.2476,6.33,11
1975-09-15,119.3301,6.41,11
1975-09-16,119.7117,6.28,11
1975-09-17,119.9906,6.03,11
1975-09-18,120.3571,6.31,11
1975-09-19,120.5517,6.21,11
1975-09-22,121.0762,6.28,11
1975-09-23,121.6259,6.26,11
1975-09-24,121.423,6.54,11
1975-09-25,121.1019,6.38,11
1975-09-26,121.1706,6.42,11
1975-09-29,121.505,6.42,11
1975-09-30,121.1336,6.22,11
1975-10-01,120.7024,6.24,11
1975-10-02,120.6687,6.30,11
1975-10-03,121.0033,6.18,11
1975-10-06,120.7288,6.03,12
1975-10-07,120.5,5.80,12
1975-10-08,120.6182,5.73,12
1975-10-09,120.457,5.87,12
1975-10-10,120.113,5.79,12
1975-10-13,119.7999,ND,12
1975-10-14,120.3,5.76,12
1975-10-15,119.8525,5.95,12
1975-10-16,119.7295,5.78,12
1975-10-17,119.8216,5.68,12
1975-10-20,119.7581,5.77,12
1975-10-21,119.5003,5.72,12
1975-10-22,119.3924,5.77,12
1975-10-23,119.6326,5.66,12
1975-10-24,119.658,5.64,12
1975-10-27,119.7079,5.67,12
1975-10-28,119.8338,5.63,12
1975-10-29,119.8614,5.67,12
1975-10-30,119.5512,5.64,12
1975-10-31,119.6651,5.65,12
1975-11-03,119.6773,5.65,12
1975-11-04,119.897,4.94,12
1975-11-05,120.0181,2.99,12
1975-11-06,119.8336,5.31,12
1975-11-07,119.9213,5.22,12
1975-11-10,119.9979,5.18,12
1975-11-11,120.1349,ND,12
1975-11-12,120.0706,5.35,12
1975-11-13,120.2594,5.23,12
1975-11-14,120.5051,5.18,12
1975-11-17,120.906,5.31,11.75
1975-11-18,120.9456,5.35,11.75
1975-11-19,120.8557,5.28,11.75
1975-11-20,120.5952,5.30,11.75
1975-11-21,120.8147,5.26,11.75
1975-11-24,120.8747,5.31,11.75
1975-11-25,120.8136,5.26,11.75
1975-11-26,120.9214,5.34,11.75
1975-11-27,121.1507,ND,11.75
1975-11-28,121.3206,5.29,11.75
1975-12-01,121.3848,5.31,11.5
1975-12-02,121.244,5.29,11.5
1975-12-03,121.3348,4.96,11.5
1975-12-04,121.2797,5.24,11.5
1975-12-05,121.5521,5.31,11.5
1975-12-08,121.5781,5.32,11.5
1975-12-09,121.5932,5.23,11.5
1975-12-10,121.5406,5.09,11.5
1975-12-11,121.5051,5.25,11.5
1975-12-12,121.4848,5.19,11.5
1975-12-15,121.6102,5.23,11.5
1975-12-16,121.5981,5.18,11.5
1975-12-17,121.5153,4.93,11.5
1975-12-18,121.4514,5.22,11.5
1975-12-19,121.4218,5.21,11.5
1975-12-22,121.386,5.24,11.5
1975-12-23,121.3259,5.18,11.5
1975-12-24,121.3189,5.02,11.5
1975-12-29,121.3265,5.10,11.25
1975-12-30,121.2582,5.30,11.25
1975-12-31,121.2842,5.37,11.25
1976-01-02,121.2556,5.28,11.25
1976-01-05,120.9857,5.29,11
1976-01-06,121.0389,5.05,11
1976-01-07,120.9476,4.26,11
1976-01-08,121.1273,4.84,11
1976-01-09,121.216,4.73,11
1976-01-12,121.1884,4.74,11
1976-01-13,121.4292,4.78,11
1976-01-14,121.3997,4.78,11
1976-01-15,121.5429,4.81,11
1976-01-16,121.4561,4.82,11
1976-01-19,121.3238,4.79,10.75
1976-01-20,121.4056,4.76,10.75
1976-01-21,121.7824,4.83,10.75
1976-01-22,121.9251,4.77,10.75
1976-01-23,121.8832,4.72,10.75
1976-01-26,121.8406,4.77,10.5
1976-01-27,121.8054,4.79,10.5
1976-01-28,121.8231,5.12,10.5
1976-01-29,121.8759,4.82,10.5
1976-01-30,121.8765,4.84,10.5
1976-02-02,121.7171,4.87,10
1976-02-03,121.7568,4.81,10
1976-02-04,121.3683,4.71,10
1976-02-05,121.5392,4.77,10
1976-02-06,121.6321,4.76,10
1976-02-09,121.6188,4.70,9.5
1976-02-10,121.6054,4.63,9.5
1976-02-11,121.4228,4.75,9.5
1976-02-12,121.442,4.74,9.5
1976-02-13,121.616,4.80,9.5
1976-02-16,121.8242,ND,9.5
1976-02-17,121.9243,4.84,9.5
1976-02-18,121.9226,4.12,9.5
1976-02-19,121.9254,4.79,9.5
1976-02-20,122.1287,4.73,9.5
1976-02-23,122.3029,4.80,9.5
1976-02-24,122.2215,4.84,9.5
1976-02-25,122.2444,4.97,9.5
1976-02-26,122.3237,4.83,9.5
1976-02-27,122.4045,4.89,9.5
1976-03-01,122.3857,5.21,9.25
1976-03-02,122.4131,5.01,9.25
1976-03-03,122.4378,4.95,9.25
1976-03-04,122.5994,4.95,9.25
1976-03-05,122.6725,4.97,9.25
1976-03-08,122.9401,4.86,9
1976-03-09,123.0919,4.78,9
1976-03-10,123.3346,4.49,9
1976-03-11,123.4172,4.82,9
1976-03-12,123.3845,4.81,9
1976-03-15,123.5564,4.81,9
1976-03-16,123.8711,4.77,9
1976-03-17,123.6822,4.56,9
1976-03-18,123.5481,4.83,9
1976-03-19,123.4357,4.80,9
1976-03-22,123.431,4.76,9
1976-03-23,123.4665,4.72,9
1976-03-24,123.4302,4.85,9
1976-03-25,123.4264,4.81,9
1976-03-26,123.5321,4.76,9
1976-03-29,123.5501,4.81,9
1976-03-30,123.3947,4.88,9
1976-03-31,123.394,5.07,9
1976-04-01,123.4269,4.83,9
1976-04-02,123.7338,4.79,9
1976-04-05,123.7765,4.74,9
1976-04-06,123.8055,4.72,9
1976-04-07,123.886,4.43,9
1976-04-08,123.8374,4.75,9
1976-04-09,124.062,4.70,9
1976-04-12,124.2328,4.76,9
1976-04-13,123.9505,4.75,9
1976-04-14,123.6454,5.00,9
1976-04-15,123.688,4.77,9
1976-04-20,123.9643,4.78,9
1976-04-21,124.1233,5.10,9
1976-04-22,124.2119,4.83,9
1976-04-23,124.2391,4.86,9
1976-04-26,124.3668,4.90,10.5
1976-04-27,124.2862,4.94,10.5
1976-04-28,124.2225,5.25,10.5
1976-04-29,124.1386,5.00,10.5
1976-04-30,124.2373,5.10,10.5
1976-05-03,124.2651,5.06,10.5
1976-05-04,124.1615,4.98,10.5
1976-05-05,124.2774,4.86,10.5
1976-05-06,124.019,4.94,10.5
1976-05-07,123.926,4.97,10.5
1976-05-10,123.8457,5.06,10.5
1976-05-11,123.9376,5.05,10.5
1976-05-12,124.0863,5.17,10.5
1976-05-13,124.1539,5.13,10.5
1976-05-14,124.2851,5.21,10.5
1976-05-17,124.5614,5.36,10.5
1976-05-18,124.487,5.39,10.5
1976-05-19,124.528,5.48,10.5
1976-05-20,124.523,5.47,10.5
1976-05-21,124.8143,5.51,10.5
1976-05-24,124.7154,5.48,11.5
1976-05-25,124.7393,5.42,11.5
1976-05-26,124.9529,5.60,11.5
1976-05-27,124.8587,5.61,11.5
1976-05-28,125.0912,5.67,11.5
1976-06-01,125.3013,5.58,11.5
1976-06-02,125.3684,4.90,11.5
1976-06-03,125.5298,5.50,11.5
